26/08/2025 10:23:45 - H=69.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:23:47 - H=69.0%, T=22.0C (71.6F), I=-5.55 A
26/08/2025 10:23:49 - H=70.0%, T=22.0C (71.6F), I=-5.55 A
26/08/2025 10:23:51 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:23:53 - H=70.0%, T=22.0C (71.6F), I=-5.55 A
26/08/2025 10:23:55 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:23:57 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:24:00 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:24:02 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:24:04 - H=70.0%, T=22.0C (71.6F), I=-5.55 A
26/08/2025 10:24:06 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:24:08 - H=71.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:24:10 - H=70.0%, T=22.0C (71.6F), I=-5.55 A
26/08/2025 10:24:12 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:24:14 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:24:16 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:24:18 - H=70.0%, T=22.0C (71.6F), I=-5.55 A
26/08/2025 10:24:20 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:24:22 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:24:24 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:24:26 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:24:28 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:24:30 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:24:32 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:24:34 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:24:36 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:24:38 - H=71.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:24:40 - H=71.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:24:42 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:24:44 - H=71.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:24:46 - H=71.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:24:48 - H=71.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:24:50 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:24:52 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:24:54 - H=70.0%, T=22.0C (71.6F), I=-5.55 A
26/08/2025 10:24:57 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:24:59 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:25:01 - H=71.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:25:03 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:25:05 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:25:07 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:25:09 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:25:11 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:25:13 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:25:15 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:25:17 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:25:19 - H=71.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:25:21 - H=70.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:33:31 - H=70.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:33:33 - H=70.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:33:35 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:33:37 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:33:39 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:33:41 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:33:43 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:33:45 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:33:47 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:33:49 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:33:51 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:33:53 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:33:55 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:33:57 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:33:59 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:34:01 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:34:03 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:34:05 - H=70.0%, T=22.0C (71.6F), I=-0.03 A
